number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test.rho2,user_attrs_test_acc,state,Rank,numLC,case,user_attrs_scaledentropy,rho
45,0.704998195,44:51.3,44:53.5,2,shared,0.04835532,256,128,NA,NA,2,0.086792226,1200,10,0.000539398,0.00546175,0.358282983,0.693030953,COMPLETE,1,4,3891,0.460822552,0.358282983
4,0.705001414,17:31.2,18:05.1,33,shared,0.003888512,128,64,256,NA,3,0.025427183,1500,10,0.000782395,0.000728467,0.358280063,0.706305325,COMPLETE,3,4,120,0.335570127,0.358280063
22,0.705003798,24:57.5,25:03.0,5,shared,0.017476872,256,64,NA,NA,2,0.242417601,300,1,0.001882708,0.0001528,0.358277977,0.691371679,COMPLETE,4,2,1944,0.525153339,0.358277977
32,0.705009878,57:42.8,57:50.5,7,class-specific,0.007554795,256,64,256,NA,3,0.352426177,1200,1,0.000826017,0.004082267,0.358272493,0.691924751,COMPLETE,2,3,3863,0.474177808,0.358272493
23,0.705010176,26:12.9,26:17.0,4,class-specific,0.013345118,128,64,NA,NA,2,0.350152079,300,40,0.000206533,0.001520003,0.358272076,0.702433646,COMPLETE,5,2,3100,0.887887418,0.358272076
17,0.705010474,20:27.2,20:31.2,4,class-specific,0.01276369,64,128,128,NA,3,0.169541248,900,20,0.000986512,0.002230663,0.358271837,0.691371679,COMPLETE,4,3,2788,0.271968246,0.358271837
42,0.705011308,49:14.1,49:18.6,4,shared,0.029954346,256,64,NA,NA,2,0.23239823,1500,40,0.00655277,0.000267536,0.358271062,0.686946929,COMPLETE,5,4,2022,0.089382462,0.358271062
42,0.705012798,31:15.4,31:20.4,5,class-specific,0.010063129,256,256,NA,NA,2,0.078551454,600,40,0.000232454,0.001030385,0.358269751,0.707411528,COMPLETE,1,2,3437,0.390556484,0.358269751
31,0.70501405,06:34.0,06:38.5,4,class-specific,0.023583029,256,64,NA,NA,2,0.340216031,1200,40,0.001389913,0.001227717,0.358268619,0.688606203,COMPLETE,5,4,4004,0.07771036,0.358268619
48,0.705013871,08:05.5,08:33.6,28,class-specific,0.005929422,128,128,256,128,4,0.339769737,1500,10,0.000249278,0.00014495,0.358268619,0.698561966,COMPLETE,4,3,259,0.388523698,0.358268619
32,0.705014467,05:31.8,05:35.3,3,class-specific,0.022577566,64,64,NA,NA,2,0.025687477,900,40,0.000769338,0.000778796,0.358268201,0.694137156,COMPLETE,2,2,3148,0.044616751,0.358268201
5,0.705015182,12:46.5,13:00.1,13,class-specific,0.031668261,256,128,64,64,4,0.246114008,1200,1,0.000109986,0.000364979,0.358267486,0.689712405,COMPLETE,3,4,3914,0,0.358267486
44,0.705016255,48:01.7,48:05.8,4,shared,0.010405429,64,128,NA,NA,2,0.331986214,1500,40,0.000101487,0.000302076,0.358266473,0.6875,COMPLETE,3,4,3074,0.292412966,0.358266473
