number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_scaledentropy,user_attrs_test/rho2,user_attrs_test_acc,state
126,0.656521737575531,2025-10-26 12:06:45.700925,2025-10-26 12:06:49.298823,3,class-specific,0.01698133778171881,256,256,,,2,0.20558954557138118,300,10,0.0025778547893499423,0.0007923093823314564,0.5472308993339539,0.4024081230163574,0.705199122428894,COMPLETE
151,0.6568465828895569,2025-10-26 12:08:57.561965,2025-10-26 12:09:01.313606,3,class-specific,0.010942747596807871,256,256,,,2,0.26471340169817575,900,10,0.00191969563155029,0.0007563864483808261,0.575461745262146,0.40211254358291626,0.7118362784385681,COMPLETE
61,0.6568982005119324,2025-10-26 12:01:45.849340,2025-10-26 12:01:49.893429,4,class-specific,0.013730312792227431,128,64,,,2,0.15110682238545395,900,10,0.003367393823397017,0.0002657364924647673,0.4349709451198578,0.4020654559135437,0.7118362784385681,COMPLETE
156,0.6576182246208191,2025-10-26 12:09:14.719393,2025-10-26 12:09:17.865298,3,class-specific,0.019321590512790646,256,256,,,2,0.20793140028473597,900,10,0.001557553057989662,0.000730664553561349,0.44379740953445435,0.40141016244888306,0.7024336457252502,COMPLETE
194,0.6603111624717712,2025-10-26 12:11:50.413762,2025-10-26 12:11:53.767168,3,class-specific,0.012795326464118247,256,256,,,2,0.2730838350479408,900,10,0.0009696663922646826,0.0007193611547692556,0.49979323148727417,0.39895880222320557,0.7029867172241211,COMPLETE
12,0.6611618399620056,2025-10-26 11:56:54.943721,2025-10-26 11:56:58.228428,3,class-specific,0.033069644880636156,128,64,,,2,0.11166897688889878,600,1,0.0005311996473621272,0.00038517058044733446,0.4626074731349945,0.39818453788757324,0.716261088848114,COMPLETE
118,0.6629575490951538,2025-10-26 12:06:04.417088,2025-10-26 12:06:12.782687,8,class-specific,0.017739089275635514,256,256,,,2,0.21948656199123376,900,40,0.003170105499905251,0.0003019216394864656,0.08480110764503479,0.3965500593185425,0.7057521939277649,COMPLETE
40,0.6642736196517944,2025-10-26 11:59:44.772186,2025-10-26 11:59:49.222234,4,shared,0.027312034226253026,128,128,,,2,0.29321296748428194,1500,10,0.0006661354904723027,0.0007801912236094663,0.5020959377288818,0.3953520655632019,0.7217920422554016,COMPLETE
134,0.6657111048698425,2025-10-26 12:07:28.122136,2025-10-26 12:07:34.035019,5,class-specific,0.008523093210309396,256,256,,,2,0.24581421058134387,900,10,0.000649818324950635,0.002830142847974281,0.5026381015777588,0.39404362440109253,0.7278761267662048,COMPLETE
14,0.6666085124015808,2025-10-26 11:57:02.987930,2025-10-26 11:57:05.975842,2,class-specific,0.028508927004461063,128,64,,,2,0.14140327548125178,300,1,0.0003286883240810225,0.009697291858922371,0.5011035799980164,0.39322686195373535,0.7123894095420837,COMPLETE
