number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test/rho2,user_attrs_test_acc,state
138,0.7212066650390625,2025-10-26 12:08:39.539475,2025-10-26 12:08:43.318206,3,class-specific,0.013319861013732724,256,128,,,2,0.20742041101481834,1200,40,0.0003362820222898885,0.0037212528357169128,0.3435293436050415,0.6775442361831665,COMPLETE
178,0.721439778804779,2025-10-26 12:12:38.786747,2025-10-26 12:12:41.180314,2,class-specific,0.04464834010899878,256,128,256.0,64.0,4,0.1986821684486269,600,1,0.0005899714400836838,0.00016791343357063442,0.34331727027893066,0.6753318309783936,COMPLETE
75,0.7214453220367432,2025-10-26 12:02:40.157958,2025-10-26 12:02:43.623122,3,shared,0.05055633530145103,128,128,64.0,256.0,4,0.33966886060377904,900,1,0.0006400218649579805,0.0009046913084813578,0.34331220388412476,0.6847345232963562,COMPLETE
165,0.7214772701263428,2025-10-26 12:11:15.400610,2025-10-26 12:11:21.905710,6,class-specific,0.04496642169661135,256,128,256.0,,3,0.20287062049331653,600,1,0.00040481597795951924,0.0061981738908059815,0.3432830572128296,0.6902654767036438,COMPLETE
68,0.7220620512962341,2025-10-26 12:01:46.986313,2025-10-26 12:01:49.315833,2,shared,0.01883422060622293,128,64,,,2,0.3713319093228607,300,20,0.0007300262129432744,0.0013539151325028297,0.3427508473396301,0.67643803358078,COMPLETE
21,0.7224682569503784,2025-10-26 11:56:57.592384,2025-10-26 11:56:59.593065,2,class-specific,0.057159026615501304,256,128,256.0,,3,0.19172096012460096,1200,20,0.0005353916285410159,0.005603252365683004,0.34238100051879883,0.6803097128868103,COMPLETE
40,0.7225269675254822,2025-10-26 11:58:48.351768,2025-10-26 11:58:49.741487,1,class-specific,0.08093740460490267,256,128,128.0,,3,0.04134244105424825,600,40,0.00018983328021778673,0.0045165855520044864,0.3423275351524353,0.6891592741012573,COMPLETE
8,0.7226471304893494,2025-10-26 11:55:45.379307,2025-10-26 11:55:47.684616,2,shared,0.015447420854872386,64,256,128.0,64.0,4,0.17167755080537486,1500,40,0.00543383145764074,0.00901655545351075,0.342218279838562,0.6814159154891968,COMPLETE
17,0.7226929664611816,2025-10-26 11:56:22.025384,2025-10-26 11:56:29.211945,7,class-specific,0.015480993173955375,256,128,256.0,,3,0.24278451706035503,300,1,0.0002381540554708579,0.0038284254419805605,0.3421764373779297,0.6836283206939697,COMPLETE
88,0.7228214144706726,2025-10-26 12:04:04.101245,2025-10-26 12:04:05.760737,1,class-specific,0.03950049456547206,256,128,256.0,,3,0.20125246710948388,600,40,0.0005064073604373568,0.0010024007451178382,0.3420596122741699,0.6841813921928406,COMPLETE
69,0.7229762077331543,2025-10-26 12:01:49.333275,2025-10-26 12:02:03.389955,14,class-specific,0.02331704749041681,64,128,256.0,,3,0.3267089793480321,900,1,0.00035645452167397564,0.00488696876414091,0.3419186472892761,0.6869469285011292,COMPLETE
103,0.7230939865112305,2025-10-26 12:05:12.387285,2025-10-26 12:05:14.913570,2,shared,0.03521280286645512,256,128,,,2,0.3398222102751744,300,20,0.0003053637391455036,0.0006498412125916893,0.34181147813796997,0.6880530714988708,COMPLETE
23,0.7235758900642395,2025-10-26 11:57:02.331127,2025-10-26 11:57:04.211025,1,class-specific,0.06740512410086974,256,128,256.0,,3,0.14759407845544373,600,20,0.00040185247916955664,0.0054974204065429575,0.34137290716171265,0.678650438785553,COMPLETE
91,0.7236419320106506,2025-10-26 12:04:10.780525,2025-10-26 12:04:18.475501,7,shared,0.02854790111482969,128,128,128.0,128.0,4,0.26709650462507023,900,1,0.0003698549482497103,0.000464888406800404,0.3413126468658447,0.6869469285011292,COMPLETE
139,0.7240157127380371,2025-10-26 12:08:43.335129,2025-10-26 12:08:46.867617,3,class-specific,0.010744768504500785,256,128,,,2,0.18520824095861185,1200,40,0.0005472774690265741,0.009014308600682691,0.3409724831581116,0.6780973672866821,COMPLETE
167,0.7246561050415039,2025-10-26 12:11:32.523477,2025-10-26 12:11:34.413738,1,class-specific,0.03946192424339768,256,128,128.0,,3,0.19092400500341697,600,40,0.0002960715113054757,0.0076723435603309525,0.340389609336853,0.6880530714988708,COMPLETE
109,0.7253619432449341,2025-10-26 12:05:37.410683,2025-10-26 12:05:38.880943,1,shared,0.045162672284156755,256,128,256.0,256.0,4,0.31912652798232655,900,40,0.0006919434639402212,0.0005636166382079605,0.3397470712661743,0.678650438785553,COMPLETE
112,0.7255217432975769,2025-10-26 12:05:49.138132,2025-10-26 12:05:55.627887,6,shared,0.04199984625861294,64,64,,,2,0.3337984400581263,300,1,0.0004825848109207305,0.00011319575554942407,0.3396015763282776,0.6858407258987427,COMPLETE
137,0.7258341312408447,2025-10-26 12:08:36.179589,2025-10-26 12:08:39.523800,3,class-specific,0.011667682296254539,256,128,,,2,0.19296624677564175,1200,40,0.0004863218905049939,0.004649169511857644,0.33931732177734375,0.6841813921928406,COMPLETE
10,0.7258998155593872,2025-10-26 11:55:53.617959,2025-10-26 11:55:54.486765,0,class-specific,0.0975802950288341,64,64,256.0,,3,0.0028661266562279852,600,20,0.0015272923623293258,0.009606528711898802,0.33925747871398926,0.6869469285011292,COMPLETE
189,0.7268050312995911,2025-10-26 12:13:51.652749,2025-10-26 12:13:53.245426,1,class-specific,0.04011598571711097,256,128,,,2,0.18850018786582715,1200,40,0.00035964755457351585,0.00018063512015108017,0.33843350410461426,0.6869469285011292,COMPLETE
65,0.7270779013633728,2025-10-26 12:01:33.548661,2025-10-26 12:01:37.240286,3,class-specific,0.09963696529534359,64,128,64.0,,3,0.35307621042516985,900,1,0.00021083259983737147,0.0005757077372507004,0.3381851315498352,0.6814159154891968,COMPLETE
123,0.7273431420326233,2025-10-26 12:06:34.228586,2025-10-26 12:06:35.973999,1,shared,0.06575275910971178,64,64,,,2,0.28710626650954657,300,1,0.0005094441674270485,0.00011226102852382209,0.3379437327384949,0.6808628439903259,COMPLETE
113,0.7276356816291809,2025-10-26 12:05:55.660674,2025-10-26 12:05:57.893564,2,shared,0.07153676009241963,64,64,,,2,0.2853838260727954,300,1,0.0012690710222142971,0.00013134498180143375,0.3376774191856384,0.6797566413879395,COMPLETE
118,0.7284717559814453,2025-10-26 12:06:14.529359,2025-10-26 12:06:17.344986,2,shared,0.048343366524567666,64,64,,,2,0.1933542793010089,1200,1,0.0004356665022896155,0.0001863625714454716,0.336916446685791,0.6780973672866821,COMPLETE
104,0.7286921739578247,2025-10-26 12:05:14.932220,2025-10-26 12:05:17.595071,2,shared,0.021845895669933058,256,128,,,2,0.32321192208747174,900,20,0.0003852327118313168,0.00017871286148540721,0.33671581745147705,0.6836283206939697,COMPLETE
87,0.729398250579834,2025-10-26 12:04:02.031075,2025-10-26 12:04:04.080441,2,shared,0.04695480651201862,256,128,256.0,,3,0.21770599171462846,600,10,0.0004126481946086004,0.0002760001140057123,0.33607304096221924,0.6836283206939697,COMPLETE
143,0.7296034693717957,2025-10-26 12:08:56.109190,2025-10-26 12:08:58.734537,2,class-specific,0.014607193683009579,256,128,,,2,0.15068463146934732,1200,20,0.00040808614531650064,0.007388172605770486,0.33588629961013794,0.6808628439903259,COMPLETE
4,0.7301564812660217,2025-10-26 11:55:36.779941,2025-10-26 11:55:39.126741,2,class-specific,0.010276780680102626,256,128,128.0,64.0,4,0.27869348624627965,1500,40,0.007130368549386575,0.0008072655610467207,0.335382878780365,0.6714601516723633,COMPLETE
142,0.73020339012146,2025-10-26 12:08:53.355422,2025-10-26 12:08:56.091943,2,class-specific,0.02153534954629723,256,128,,,2,0.12232079385512591,1200,20,0.0004561032601205417,0.007830658429883878,0.3353402018547058,0.6836283206939697,COMPLETE
49,0.7304218411445618,2025-10-26 11:59:43.930566,2025-10-26 11:59:47.905343,3,class-specific,0.012632185681391394,64,128,64.0,,3,0.17076987931329224,1500,10,0.0020318796085487586,0.0013581546184743838,0.3351414203643799,0.6758849620819092,COMPLETE
145,0.7305276989936829,2025-10-26 12:09:01.412661,2025-10-26 12:09:04.436703,3,class-specific,0.016911983332077562,256,128,,,2,0.17417208092541742,1200,20,0.0005143892441947127,0.005806802990110438,0.33504509925842285,0.6792035102844238,COMPLETE
177,0.7314360737800598,2025-10-26 12:12:35.651880,2025-10-26 12:12:38.765163,3,shared,0.023968673646285223,256,128,,,2,0.15594147762175653,1200,10,0.00022719040316063782,0.004908914254095914,0.33421820402145386,0.678650438785553,COMPLETE
159,0.7321902513504028,2025-10-26 12:10:32.933523,2025-10-26 12:10:35.516721,2,shared,0.028900540262420008,256,128,256.0,,3,0.17954614167486163,600,20,0.000276059149813177,0.00474806356947685,0.3335316777229309,0.6819690465927124,COMPLETE
50,0.7327885627746582,2025-10-26 11:59:47.923716,2025-10-26 11:59:49.696491,1,class-specific,0.04519317676834821,64,128,64.0,,3,0.2476759067369763,300,10,0.0011317904104920706,0.0022753991889362347,0.33298707008361816,0.6803097128868103,COMPLETE
7,0.733176052570343,2025-10-26 11:55:43.606228,2025-10-26 11:55:45.366192,1,class-specific,0.02634309070283777,256,128,256.0,,3,0.27040414256662487,1200,20,0.002403371580331593,0.0011335648140128362,0.3326343894004822,0.6880530714988708,COMPLETE
153,0.7337311506271362,2025-10-26 12:09:44.486500,2025-10-26 12:09:59.227364,14,shared,0.005196191425202166,128,128,,,2,0.3326191079429196,1200,1,0.00042436439581711486,0.0006059651462212469,0.33212924003601074,0.6747787594795227,COMPLETE
